Country Name,Country Code,Population
"Venezuela, RB",VEN,28515829.00
British Virgin Islands,VGB,30030.00
Virgin Islands (U.S.),VIR,106631.00
Vietnam,VNM,96462106.00
Vanuatu,VUT,299882.00
World,WLD,7673533972.00
Samoa,WSM,197097.00
Kosovo,XKX,1794248.00
"Yemen, Rep.",YEM,29161922.00
South Africa,ZAF,58558270.00
Zambia,ZMB,17861030.00
Zimbabwe,ZWE,14645468.00
